Timestamp,What is your age group?,What is your gender?,What is your preferred mode of transport?,Which type of food do you enjoy the most?,How satisfied are you with your current internet service provider?,How often do you eat out in a week? 
10/4/2024 19:49:50,18-25,Male,Bike,"Italian, Indian",3 (Neutral),1-2 times
10/4/2024 19:57:40,18-25,Male,Walking,Indian,3 (Neutral),Never
10/4/2024 19:57:42,18-25,Male,Car,"Italian, Chinese, Mexican, Indian, Fast Food",3 (Neutral),3-4 times
10/4/2024 20:00:23,18-25,Male,Public Transport,Fast Food,4,1-2 times
10/4/2024 20:01:16,18-25,Male,Car,Other,5 (Very Satisfied),3-4 times
10/4/2024 21:26:31,18-25,Male,Public Transport,Indian,3 (Neutral),1-2 times
10/4/2024 23:49:36,18-25,Male,Bike,Indian,1 (Very Dissatisfied),1-2 times
10/5/2024 11:29:38,26-35,Other/Prefer not to say,Walking,"Chinese, Fast Food",2,5 or more times
10/5/2024 11:55:32,18-25,Male,Public Transport,Indian,3 (Neutral),1-2 times
10/6/2024 2:48:33,18-25,Male,Bike,Other,3 (Neutral),1-2 times
10/6/2024 10:16:47,18-25,Male,Car,Chinese,3 (Neutral),1-2 times
